name,time,CO2Concentration,Co2Concentration,deviceId,distance,environmentHumidity,environmentPressure,environmentTemperature,internalTemperature,nonContactWaterLevel,potentialOfHydrogen,totalDissolvedSolids,totalOrganicCompounds,waterFlow,waterTemperature
data_yaku,1629353332351000000,,-1,ESP32_473938,22,45.81,88464.953,24.1,53.333,0,6.312,1379.98,-1,0,21.562
data_yaku,1629353391989000000,,-1,ESP32_473938,22,45.852,88466.719,24.11,45,0,6.356,1379.98,-1,0,21.5
data_yaku,1629353452629000000,,-1,ESP32_473938,22,45.81,88468.672,24.1,53.333,0,6.312,1379.98,-1,0,21.5
data_yaku,1629353512258000000,,-1,ESP32_473938,22,45.821,88470.133,24.11,53.333,0,6.312,1379.98,-1,0,21.562
data_yaku,1629353571910000000,,-1,ESP32_473938,22,45.81,88473.82,24.1,53.333,0,6.312,1379.98,-1,0,21.562
data_yaku,1629353632539000000,,-1,ESP32_473938,22,45.809,88471.672,24.09,45,0,6.334,1379.98,-1,0,21.5
data_yaku,1629353692184000000,,-1,ESP32_473938,22,45.838,88470.219,24.08,53.333,0,6.356,1379.98,-1,0,21.5
data_yaku,1629353752826000000,,-1,ESP32_473938,22,45.85,88468.578,24.09,53.333,0,6.312,1379.98,-1,0,21.438
data_yaku,1629353812469000000,,-1,ESP32_473938,22,45.869,88469.586,24.08,45,0,6.312,1379.98,-1,0,21.5
data_yaku,1629353872083000000,,-1,ESP32_473938,22,45.918,88467.438,24.07,53.333,0,6.312,1379.98,-1,0,21.438
data_yaku,1629353932722000000,,-1,ESP32_473938,22,45.968,88465.758,24.07,53.333,0,6.312,1379.98,-1,0,21.438
data_yaku,1629353992361000000,,-1,ESP32_473938,22,45.946,88467.328,24.06,53.333,0,6.334,1379.98,-1,0,21.5
data_yaku,1629354052008000000,,-1,ESP32_473938,22,45.945,88463.539,24.05,45,0,6.334,1379.98,-1,0,21.562
data_yaku,1629354112639000000,,-1,ESP32_473938,22,45.986,88464.906,24.05,53.333,0,6.356,1379.98,-1,0,21.5
